atc_level_01_code,atc_level_02_code,atc_level_03_code,atc_level_04_code,atc_level_05_code,atc_level_01_name,atc_level_02_name,atc_level_03_name,atc_level_04_name,atc_level_05_name
QH,QH01,QH01A,QH01AA,QH01AA01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,ACTH,corticotropin
QH,QH01,QH01A,QH01AA,QH01AA02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,ACTH,tetracosactide
QH,QH01,QH01A,QH01AB,QH01AB01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Thyrotropin,thyrotropin alfa
QH,QH01,QH01A,QH01AC,QH01AC01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists,somatropin
QH,QH01,QH01A,QH01AC,QH01AC02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists,somatrem
QH,QH01,QH01A,QH01AC,QH01AC03,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists,mecasermin
QH,QH01,QH01A,QH01AC,QH01AC04,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists,sermorelin
QH,QH01,QH01A,QH01AC,QH01AC05,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists,mecasermin rinfabate
QH,QH01,QH01A,QH01AC,QH01AC06,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists,tesamorelin
QH,QH01,QH01A,QH01AC,QH01AC07,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULIN",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists,somapacitan
