atc_level_01_code,atc_level_02_code,atc_level_03_code,atc_level_04_code,atc_level_05_code,atc_level_01_name,atc_level_02_name,atc_level_03_name,atc_level_04_name,atc_level_05_name
QI,QI01,QI01A,QI01AA,QI01AA01,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bursal (gumboro) disease virus
QI,QI01,QI01A,QI01AA,QI01AA02,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus/paramyxovirus
QI,QI01,QI01A,QI01AA,QI01AA03,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus
QI,QI01,QI01A,QI01AA,QI01AA04,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian reovirus
QI,QI01,QI01A,QI01AA,QI01AA05,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA06,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian rhinotracheitis virus
QI,QI01,QI01A,QI01AA,QI01AA07,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian rhinotracheitis virus + avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA08,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus
QI,QI01,QI01A,QI01AA,QI01AA09,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus / paramyxovirus + avian infectious bursal (gumboro) disease virus + avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA10,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + newcastle disease virus / paramyxovirus
QI,QI01,QI01A,QI01AA,QI01AA11,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus
QI,QI01,QI01A,QI01AA,QI01AA12,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus / paramyxovirus + avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA13,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus / paramyxovirus + avian infectious bronchitis virus + avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA14,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA15,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus
QI,QI01,QI01A,QI01AA,QI01AA16,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian reovirus
QI,QI01,QI01A,QI01AA,QI01AA17,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian rhinotracheitis virus
QI,QI01,QI01A,QI01AA,QI01AA18,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + newcastle disease virus / paramyxovirus + avian adenovirus + avian rhinotracheitis virus
QI,QI01,QI01A,QI01AA,QI01AA19,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA20,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,newcastle disease virus / paramyxovirus + avian rhinotracheitis virus
QI,QI01,QI01A,QI01AA,QI01AA21,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + newcastle disease virus / paramyxovirus + avian rhinotracheitis virus
QI,QI01,QI01A,QI01AA,QI01AA22,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bursal (gumboro) disease virus + avian reovirus
QI,QI01,QI01A,QI01AA,QI01AA23,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian influenza virus
QI,QI01,QI01A,QI01AA,QI01AA24,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian reovirus + avian adenovirus + avian rhinotracheitis virus
QI,QI01,QI01A,QI01AA,QI01AA25,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian reovirus + avian adenovirus
QI,QI01,QI01A,QI01AA,QI01AA26,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated viral vaccines,avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian reovirus + avian rhinotracheitis virus
QI,QI01,QI01A,QI01AB,QI01AB01,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",salmonella
QI,QI01,QI01A,QI01AB,QI01AB02,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",pasteurella
QI,QI01,QI01A,QI01AB,QI01AB03,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",mycoplasma
QI,QI01,QI01A,QI01AB,QI01AB04,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",haemophilus
QI,QI01,QI01A,QI01AB,QI01AB05,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",escherichia
QI,QI01,QI01A,QI01AB,QI01AB06,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",erysipelothrix
QI,QI01,QI01A,QI01AB,QI01AB07,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",ornithobacterium
QI,QI01,QI01A,QI01AB,QI01AB08,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,"Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)",clostridium
QI,QI01,QI01A,QI01AC,NA,IMMUNOLOGICALS,IMMUNOLOGICALS FOR AVES,DOMESTIC FOWL,Inactivated bacterial vaccines and antisera,NA
