atc_level_01_code,atc_level_02_code,atc_level_03_code,atc_level_04_code,atc_level_05_code,atc_level_01_name,atc_level_02_name,atc_level_03_name,atc_level_04_name,atc_level_05_name
QP,QP51,QP51A,QP51AA,QP51AA02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,tinidazole
QP,QP51,QP51A,QP51AA,QP51AA03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,ornidazole
QP,QP51,QP51A,QP51AA,QP51AA04,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,azanidazole
QP,QP51,QP51A,QP51AA,QP51AA05,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,propenidazole
QP,QP51,QP51A,QP51AA,QP51AA06,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,nimorazole
QP,QP51,QP51A,QP51AA,QP51AA07,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,dimetridazole
QP,QP51,QP51A,QP51AA,QP51AA10,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitroimidazole derivatives,ipronidazole
QP,QP51,QP51A,QP51AB,QP51AB02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Antimony compounds,sodium stibogluconate
QP,QP51,QP51A,QP51AC,QP51AC01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitrofuran derivatives,nifurtimox
QP,QP51,QP51A,QP51AC,QP51AC02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Nitrofuran derivatives,nitrofural
QP,QP51,QP51A,QP51AD,QP51AD01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,arsthinol
QP,QP51,QP51A,QP51AD,QP51AD02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,difetarsone
QP,QP51,QP51A,QP51AD,QP51AD03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,glycobiarsol
QP,QP51,QP51A,QP51AD,QP51AD04,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,melarsoprol
QP,QP51,QP51A,QP51AD,QP51AD05,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,acetarsol
QP,QP51,QP51A,QP51AD,QP51AD53,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Arsenic compounds,"glycobiarsol, combinations"
QP,QP51,QP51A,QP51AE,QP51AE02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Carbanilides,suramin sodium
QP,QP51,QP51A,QP51AE,QP51AE03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Carbanilides,nicarbazine
QP,QP51,QP51A,QP51AF,QP51AF03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Aromatic diamidines,phenamidine
QP,QP51,QP51A,QP51AG,QP51AG01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,"Sulfonamides, plain and in combinations",sulfadimidine
QP,QP51,QP51A,QP51AG,QP51AG30,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,"Sulfonamides, plain and in combinations",combinations of sulfonamides
QP,QP51,QP51A,QP51AG,QP51AG51,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,"Sulfonamides, plain and in combinations","sulfadimidine, combinations"
QP,QP51,QP51A,QP51AG,QP51AG53,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,"Sulfonamides, plain and in combinations","sulfaquinoxaline, combinations"
QP,QP51,QP51A,QP51AX,QP51AX01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,chiniofon
QP,QP51,QP51A,QP51AX,QP51AX02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,emetine
QP,QP51,QP51A,QP51AX,QP51AX03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,phanquinone
QP,QP51,QP51A,QP51AX,QP51AX04,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,mepacrine
QP,QP51,QP51A,QP51AX,QP51AX05,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,nifursol
QP,QP51,QP51A,QP51AX,QP51AX11,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,arprinocid
QP,QP51,QP51A,QP51AX,QP51AX17,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,ethopabate
QP,QP51,QP51A,QP51AX,QP51AX18,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,diaveridine
QP,QP51,QP51A,QP51AX,QP51AX23,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,fumagillin
QP,QP51,QP51A,QP51AX,QP51AX26,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,clopidol
QP,QP51,QP51A,QP51AX,QP51AX30,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST PROTOZOAL DISEASES,Other antiprotozoal agents,combinations of other protozoal agents
QP,QP51,QP51B,QP51BA,QP51BA01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,"Sulfonamides, plain and in combinations against coccidiosis",sulfadimethoxine
QP,QP51,QP51B,QP51BA,QP51BA02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,"Sulfonamides, plain and in combinations against coccidiosis",sulfaquinoxaline
QP,QP51,QP51B,QP51BA,QP51BA03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,"Sulfonamides, plain and in combinations against coccidiosis",sulfaclozine
QP,QP51,QP51B,QP51BB,QP51BB01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Ionophores against coccidiosis,salinomycin
QP,QP51,QP51B,QP51BB,QP51BB02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Ionophores against coccidiosis,lasalocid
QP,QP51,QP51B,QP51BB,QP51BB03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Ionophores against coccidiosis,monensin
QP,QP51,QP51B,QP51BB,QP51BB04,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Ionophores against coccidiosis,narasin
QP,QP51,QP51B,QP51BB,QP51BB05,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Ionophores against coccidiosis,maduramicin
QP,QP51,QP51B,QP51BB,QP51BB54,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Ionophores against coccidiosis,"narasin, combinations"
QP,QP51,QP51B,QP51BC,QP51BC01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Triazines against coccidiosis,toltrazuril
QP,QP51,QP51B,QP51BC,QP51BC02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Triazines against coccidiosis,clazuril
QP,QP51,QP51B,QP51BC,QP51BC03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Triazines against coccidiosis,diclazuril
QP,QP51,QP51B,QP51BC,QP51BC04,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Triazines against coccidiosis,ponazuril
QP,QP51,QP51B,QP51BC,QP51BC51,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Triazines against coccidiosis,"toltrazuril, combinations"
QP,QP51,QP51B,QP51BX,QP51BX01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Other agents against coccidiosis,halofuginone
QP,QP51,QP51B,QP51BX,QP51BX02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Other agents against coccidiosis,amprolium
QP,QP51,QP51B,QP51BX,QP51BX03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Other agents against coccidiosis,robenidine
QP,QP51,QP51B,QP51BX,QP51BX05,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Other agents against coccidiosis,clopidol
QP,QP51,QP51B,QP51BX,QP51BX06,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Other agents against coccidiosis,dinitolmide
QP,QP51,QP51B,QP51BX,QP51BX52,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Other agents against coccidiosis,"amprolium, combinations"
QP,QP51,QP51B,QP51BX,QP51BX56,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST COCCIDIOSIS,Other agents against coccidiosis,"pyrimethamine, combinations"
QP,QP51,QP51C,QP51CA,QP51CA01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIOSIS AND HISTOMONOSIS,Nitroimidazole derivatives against amoebiosis and histomonosis,metronidazole
QP,QP51,QP51C,QP51CA,QP51CA02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIOSIS AND HISTOMONOSIS,Nitroimidazole derivatives against amoebiosis and histomonosis,ronidazole
QP,QP51,QP51C,QP51CA,QP51CA03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIOSIS AND HISTOMONOSIS,Nitroimidazole derivatives against amoebiosis and histomonosis,carnidazole
QP,QP51,QP51C,QP51CX,QP51CX01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIOSIS AND HISTOMONOSIS,Other agents against amoebiosis and histomonosis,aminonitrothiazol
QP,QP51,QP51D,QP51DF,QP51DF01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIOSIS AND TRYPANOSOMOSIS,Aromatic diamidines against leishmaniosis and trypanosomosis,diminazen
QP,QP51,QP51D,QP51DF,QP51DF02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIOSIS AND TRYPANOSOMOSIS,Aromatic diamidines against leishmaniosis and trypanosomosis,pentamidine
QP,QP51,QP51D,QP51DX,QP51DX01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIOSIS AND TRYPANOSOMOSIS,Other agents against leishmaniosis and trypanosomosis,meglumine antimonate
QP,QP51,QP51D,QP51DX,QP51DX02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIOSIS AND TRYPANOSOMOSIS,Other agents against leishmaniosis and trypanosomosis,melarsamin
